date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
1999-11-10,-0.33,-0.60,-0.29,-0.71,1740850,4859102000.00,-12.77,81.76,2.69,54.40
1999-11-11,-0.62,-0.60,-0.50,-0.63,294034,821582000.00,-21.67,0.00,0.00,9.19
1999-11-12,-0.58,-0.55,-0.52,-0.59,150079,421591000.00,-11.67,8.33,0.05,4.69
1999-11-15,-0.53,-0.60,-0.52,-0.61,119210,332952000.00,-16.36,-9.09,-0.05,3.73
1999-11-16,-0.58,-0.78,-0.56,-0.79,232231,628908000.00,-38.33,-30.00,-0.18,7.26
1999-11-17,-0.79,-0.68,-0.68,-0.81,100525,268995000.00,-16.67,12.82,0.10,3.14
1999-11-18,-0.68,-0.71,-0.62,-0.74,84465,229577000.00,-17.65,-4.41,-0.03,2.64
1999-11-19,-0.64,-0.73,-0.63,-0.74,53749,145887000.00,-15.49,-2.82,-0.02,1.68
1999-11-22,-0.73,-0.79,-0.72,-0.82,55354,147086000.00,-13.70,-8.22,-0.06,1.73
1999-11-23,-0.79,-0.79,-0.78,-0.85,38439,101224000.00,-8.86,0.00,0.00,1.20
1999-11-24,-0.80,-0.80,-0.78,-0.86,40980,107344000.00,-10.13,-1.27,-0.01,1.28
1999-11-25,-0.82,-0.80,-0.76,-0.86,57252,150528000.00,-12.50,0.00,0.00,1.79
1999-11-26,-0.80,-0.79,-0.76,-0.84,22826,60508000.00,-10.00,1.25,0.01,0.71
1999-11-29,-0.79,-0.81,-0.74,-0.83,26812,71099000.00,-11.39,-2.53,-0.02,0.84
1999-11-30,-0.82,-0.80,-0.79,-0.85,23713,62335000.00,-7.41,1.23,0.01,0.74
1999-12-01,-0.82,-0.77,-0.73,-0.83,28651,76287000.00,-12.50,3.75,0.03,0.90
1999-12-02,-0.78,-0.82,-0.75,-0.83,19384,51110000.00,-10.39,-6.49,-0.05,0.61
1999-12-03,-0.82,-0.81,-0.76,-0.83,25525,67291000.00,-8.54,1.22,0.01,0.80
1999-12-06,-0.82,-0.91,-0.81,-0.92,69839,180516000.00,-13.58,-12.35,-0.10,2.18
1999-12-07,-0.92,-0.92,-0.89,-0.94,39557,101467000.00,-5.49,-1.10,-0.01,1.24
1999-12-08,-0.92,-0.93,-0.90,-0.94,22365,57214000.00,-4.35,-1.09,-0.01,0.70
1999-12-09,-0.94,-0.96,-0.93,-0.97,25646,65136000.00,-4.30,-3.23,-0.03,0.80
1999-12-10,-0.96,-0.87,-0.85,-0.98,35539,91041000.00,-13.54,9.38,0.09,1.11
1999-12-13,-0.87,-0.87,-0.79,-0.92,70584,184655000.00,-14.94,0.00,0.00,2.21
1999-12-14,-0.91,-0.86,-0.86,-0.91,16184,41845000.00,-5.75,1.15,0.01,0.51
1999-12-15,-0.86,-0.79,-0.73,-0.88,67978,180407000.00,-17.44,8.14,0.07,2.12
1999-12-16,-0.79,-0.86,-0.79,-0.87,36162,94601000.00,-10.13,-8.86,-0.07,1.13
1999-12-17,-0.86,-0.93,-0.84,-0.94,35653,91807000.00,-11.63,-8.14,-0.07,1.11
1999-12-21,-0.95,-0.98,-0.93,-0.99,42153,106523000.00,-6.45,-5.38,-0.05,1.32
1999-12-22,-0.98,-0.99,-0.96,-1.01,30835,77614000.00,-5.10,-1.02,-0.01,0.96
1999-12-23,-0.98,-1.05,-0.97,-1.06,41615,103557000.00,-9.09,-6.06,-0.06,1.30
1999-12-24,-1.07,-1.05,-1.00,-1.08,28324,70142000.00,-7.62,0.00,0.00,0.89
1999-12-27,-1.05,-1.08,-1.01,-1.09,22337,55170000.00,-7.62,-2.86,-0.03,0.70
1999-12-28,-1.08,-1.07,-1.00,-1.09,31766,78430000.00,-8.33,0.93,0.01,0.99
1999-12-29,-1.06,-1.07,-1.02,-1.08,22842,56436000.00,-5.61,0.00,0.00,0.71
