date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
1998-10-21,14.96,15.05,15.42,14.45,553512,955694000.00,12.08,87.42,7.02,73.80
1998-10-22,14.93,15.77,15.83,14.86,197143,353814000.00,6.45,4.78,0.72,26.29
1998-10-23,15.78,15.26,15.96,15.22,163061,302445000.00,4.69,-3.23,-0.51,21.74
1998-10-26,15.22,15.32,15.50,15.00,79768,142399000.00,3.28,0.39,0.06,10.64
1998-10-27,15.31,15.33,15.60,15.22,41460,75297000.00,2.48,0.07,0.01,5.53
1998-10-28,15.35,15.16,15.42,15.11,37832,67863000.00,2.02,-1.11,-0.17,5.04
1998-10-29,15.14,15.69,15.98,15.10,83699,155567000.00,5.80,3.50,0.53,11.16
1998-10-30,15.78,15.78,16.35,15.72,86651,166737000.00,4.02,0.57,0.09,11.55
1998-11-02,15.90,16.73,16.73,15.81,95208,187363000.00,5.83,6.02,0.95,12.69
1998-11-03,16.91,17.11,17.41,16.72,110549,231477000.00,4.12,2.27,0.38,14.74
1998-11-04,17.12,17.11,17.40,16.99,54561,115008000.00,2.40,0.00,0.00,7.27
1998-11-05,17.16,18.20,18.38,17.05,72596,162073000.00,7.77,6.37,1.09,9.68
1998-11-06,18.32,18.61,19.25,18.25,108131,255324000.00,5.49,2.25,0.41,14.42
1998-11-09,18.80,18.93,18.98,18.51,57174,136188000.00,2.53,1.72,0.32,7.62
1998-11-10,18.91,18.77,18.92,18.38,49993,117522000.00,2.85,-0.85,-0.16,6.67
1998-11-11,18.77,19.52,19.70,18.63,75752,187315000.00,5.70,4.00,0.75,10.10
1998-11-12,19.51,19.35,19.67,19.22,47403,117711000.00,2.31,-0.87,-0.17,6.32
1998-11-13,19.32,19.19,19.41,18.81,50849,122922000.00,3.10,-0.83,-0.16,6.78
1998-11-16,19.14,19.62,19.62,18.74,41554,100723000.00,4.59,2.24,0.43,5.54
1998-11-17,19.70,19.19,19.82,19.12,28068,69658000.00,3.57,-2.19,-0.43,3.74
1998-11-18,19.03,18.85,19.30,18.81,31953,76942000.00,2.55,-1.77,-0.34,4.26
1998-11-19,18.90,18.89,19.15,18.73,21989,52838000.00,2.23,0.21,0.04,2.93
